Sender,Message
SINHA,Nek kopam ekkuva le
SINHA,Amaina vuntey rep matladukondam
SINHA,Paduko ippuduki
Sowmya,Em vadhule
SINHA,Ayyo nene cheysta sowmyaa
Sowmya,..
SINHA,Vadha... 😐
Sowmya,Ok one month varaku msg cheyaku
Sowmya,Ardham aindha
SINHA,Vuruko sowmyaa... 😅
SINHA,Nv vundagalava enti
Sowmya,Aha...nenu voorukonu
Sowmya,Haaaaaaaaaa
SINHA,Sare cheystey ?
Sowmya,Nuvve cheppu
SINHA,Nenu msg cheystey ame cheystav
Sowmya,Ala chyakoodadhu
SINHA,Cheysta nenu
SINHA,Nak ethics lev... 😁
Sowmya,Cheyodhu anna kadha
SINHA,Cheysta anna kadha
Sowmya,Aha vadhu
SINHA,Aha cheysta
Sowmya,Nenu vundalenu antunnav ga pedha
SINHA,Leydhu leydhu nv vundagalav
Sowmya,🤣🤣
Sowmya,Entole
Sowmya,Mari pichi Danni chesthunnav asalu
SINHA,😅
Sowmya,Kadhu sinha
Sowmya,Okkasari try chedham
SINHA,Haa
Sowmya,One month
SINHA,Enti?
Sowmya,Boonti
SINHA,Boondhi adhi... 🤭
Sowmya,Nee moham
Sowmya,Enti ante
Sowmya,Boonti ane anedhi
SINHA,Oh avuna.... 😐
Sowmya,Enti ki boondhi ki rhyming em vundhi
SINHA,Avunu lw
SINHA,Nv elaagey bak teliyanidhi chepta vundu
SINHA,Manaki enduku leyni poni challenges
Sowmya,Oka sari try chedham annagaaa
Sowmya,Trill
Sowmya,Thril
SINHA,Thrill... 🙄
Sowmya,Kadhu nannu antunnav
Sowmya,Vundalenu ani
SINHA,Leydhu le nv vundagalav
Sowmya,Nv vuntava?
Sowmya,Aha vundalenu🤣
SINHA,Ayyo Sowmya vuruko mari nv
Sowmya,Nijame ga
SINHA,Mari cheyakunda anduku vunta
Sowmya,Ante vundagalav antunna
SINHA,Nek gurtu leydhu emo okasari nv alaaney anukontey nene msg cheysa
Sowmya,Nenu mathram repati nunchi one month matldanu choosuko
Sowmya,Ledante
Sowmya,Avve matalu cheppu sowmyaaa anta
SINHA,Ha??
Sowmya,Ha chesav le
Sowmya,Wait
Sowmya,.....
SINHA,Edho saradaki anna le... 😅
SINHA,Vuruko mari nv
Sowmya,Abba kadhulee
Sowmya,Nenu mathram nijame chepthunna
Sowmya,Nv msg chesina kooda nenu aithe reply ivvanu
SINHA,Pakka na
Sowmya,Asale nadhi kind heart kabatti choosthe reply iche chances vunnai
Sowmya,So msgs kooda choodanu
Sowmya,Pakka
SINHA,Fix aipoyava
Sowmya,Ha anthe
Sowmya,Ledante
SINHA,Sare choodam
Sowmya,Na valla kadhu antav thapaki
Sowmya,Choosuko
SINHA,😏😏
Sowmya,Naa mobile lo kooda vunnai emojies
Sowmya,Naku nachav andhuke pettanu
SINHA,"Na eestam adhi.,.. 😏"
Sowmya,🤦‍♀️
Sowmya,Sare emanna vunte ippude matladu
SINHA,Ntg
Sowmya,New year ki kooda neeku wish cheyanu le
Sowmya,Nene anukunta
Sowmya,Happy new year sinha ani😅
Sowmya,Manasulo anukunte saripothundhi ga
SINHA,Vadhu anukoku
Sowmya,Ha?
SINHA,Saripodhu
Sowmya,Year antha happy ga vundali anukovatledha
Sowmya,Nenu anukonta
SINHA,Anukoku... 🤨
Sowmya,Aina nenu anukunnano ledho neeku theliyadhuga
Sowmya,So anukunta
SINHA,Hehe
Sowmya,Hehe
SINHA,Vellu paduko. Mari late ayyindhi
Sowmya,Avuna
SINHA,Ha
Sowmya,Sare mari naku aithe msg cheyaku please
SINHA,Please aaa... 🙄
Sowmya,Ha
SINHA,Antha request cheyadam deniki
Sowmya,Nv msg chesthe
Sowmya,Nenu reply isthanani
SINHA,Challu le antha cheyaku
SINHA,Ippudu paduko mrng matladam
SINHA,Inkem matladaku
Sowmya,Nenu matladanu ani cheppaga
Sowmya,🤣🤣🤣🤣
SINHA,Chaalu anna
Sowmya,Sarele
SINHA,Hmm
Sowmya,Jan 24rth
SINHA,Oyy
SINHA,Ellehe
Sowmya,Hi
Sowmya,🤣🤣🤣🤣🤣🤣🤣 vammooo
Sowmya,Hamayya challe...indhaka nv nannu edipinchav 
SINHA,Vrey funny... 😏
Sowmya,Ee emoji asalu
Sowmya,Highlight idhi
SINHA,😁😁
Sowmya,Nenu adhe chepthunna shina ippudu velli malli Jan 24rth na vastha ani
SINHA,Abba sowmyaa
SINHA,Antha cheyaku annana
Sowmya,Chee
SINHA,Paduko ippudu mrng matladam ananana
Sowmya,Asalu
Sowmya,Okka sari kooda
Sowmya,Avvanichela lev ga🤦‍♀️
SINHA,Mari antha sarada padutunav enti
Sowmya,Choodham
Sowmya,Vundagalana Lena ani
SINHA,Sare nee eestam
Sowmya,Vuntanu anuko
SINHA,Nenu ithy cheyali anipinchinappudu cheysta
SINHA,Eestey eevi lekapothey nenu eechey varaku cheysta... 😁
Sowmya,New year ki aithe maa anna vasthadu
SINHA,Oh
SINHA,Appudu manaki exam vutundhi akkada wish cheysta le
Sowmya,Jan 1st na em exam vundhi andi
SINHA,1 St Kakapothey 2nd
Sowmya,Aha naku 2nd na vadhu😅
SINHA,Parleydhu ame kadhu
Sowmya,Vadhu ante parledhu antav
SINHA,Sare msg kadhu 1 na 12 key cal cheysi chepta saripotundhi
Sowmya,Appudu church lo vunta
SINHA,Aadukontunav Sowmya... 😐
Sowmya,Abbaaa....
Sowmya,Entha bagundho
SINHA,😕
Sowmya,Sarele inka paduko po
SINHA,Haa
Sowmya,Nijangana
SINHA,Padukontuna
Sowmya,Ela nammamantav
SINHA,Enti?
Sowmya,Ippude mobile pakkana petti padukuntunnav ani ela nammamantav
SINHA,Msg cheyi kavalante single tick eh vastundhi
Sowmya,Nee ishtam Sowmya nammithe nammu ledante maney
Sowmya,Abbaa
Sowmya,Tharidhi
Sowmya,Watsapp open chesthene ga
Sowmya,Double ticks vachedhi
SINHA,Evaru chepparu
Sowmya,Thamaridhi
Sowmya,Evaroo chepparu le
SINHA,Kadhu le padukonta inaa
SINHA,Rep mrng eh leychi preparation start cheyale ga
SINHA,Nv paduko
Sowmya,Naku aithe nammakam ledhu
SINHA,Haa
SINHA,Gud night sowmyaaaa
Sowmya,Nenu pakka padukunta
Sowmya,Good morning
SINHA,Haa gud mrng
Sowmya,Inka lechi chaduvuko 🤣🤣
SINHA,Sowmya... Sowmyaa
Sowmya,😅
Sowmya,Bye
SINHA,Ha bye
Sowmya,Ha bye
Sowmya,Bye sinha
Sowmya,Choodu double ticks
SINHA,Ha gud night sowmya
SINHA,Inka Ravu le
Sowmya,Sare
Sowmya,🤣🤣🤣🤣🤣🤣
Sowmya,Nijangane raledhu sinha
Sowmya,Aina needhi mamulu watsapp kadhuga edhi Aina chesthab
Sowmya,Chesthav*
SINHA,Ame cheyale
SINHA,Padukona... 😌
Sowmya,Sare
SINHA,Thinnava
Sowmya,Ha
Sowmya,Nv
SINHA,Ha leydhu late ga leycha
Sowmya,Saripoindhi😅
SINHA,Ha start cheysava leydaa
Sowmya,Chesanu
Sowmya,"Ee roju CN 2,3 units okkate merchukunedhi"
SINHA,Ha okk
Sowmya,Happy Christmas sinha🤝
SINHA,Hey padukoleydaa
Sowmya,No
SINHA,Merry Christmas... 🤗
Sowmya,Ippudu padukunta Inka
Sowmya,Malli mng 3:30 ki candle service vundhi
SINHA,Ohh nycc
SINHA,Mamalini appudu invite cheystav mari
Sowmya,🥲
Sowmya,Nenu pedha ayyaka🤣
Sowmya,Ila adigithe Inka nenu deeni gurinche alochistha
SINHA,Ponile opukonav chinna pilla ani.. 😅
Sowmya,🤦‍♀️
Sowmya,10th lo aithee pooji leela vacharu 1 day mundhe
SINHA,Sowmya.... Sowmya.... Sowmya
Sowmya,Mimmalni thavalante time pattidhi
SINHA,Ela Sowmya entha manchi ga aasalu
Sowmya,Emo
Sowmya,Nijanga
Sowmya,Kakapothe invite cheyalenu kadha
Sowmya,Badha vesidhi🥲😐
SINHA,Haa vadhu le nv feel avvaku
SINHA,Church ki appudaina kalisi veldam le
SINHA,Saripodhu
Sowmya,Avuthadhi antava
SINHA,Choodam
Sowmya,Hmm
Sowmya,Chadivava
SINHA,Chustuna chustuna
SINHA,Nv chusava aasalu?
Sowmya,He
Sowmya,Ha
SINHA,Rep time vundadhu emo ga
Sowmya,2nd unit ayipoindhi
Sowmya,3rd unit lo konchem ayipoindhi
Sowmya,Anthe
Sowmya,Repu 5 ki 1st unit chaduvutha
Sowmya,2 ki 4rth
SINHA,Hmm chusuko mari exam kuda important eh
Sowmya,Monday mng 5tg unit
SINHA,Avutadha?
Sowmya,Plan mathram Nala evvaru veyaleru😂
Sowmya,Anukunta
Sowmya,Ledante
Sowmya,Ee exam ayinantha varaku rastg
Sowmya,Sarele gorintaku pettukunna reply typing late avuthundhi
SINHA,Leydhu mari antha kastam ame kadhu inaa
Sowmya,Haa
Sowmya,Avunu
SINHA,"Just chusukona 5,1 units Baga rayochu"
SINHA,"2,3,4 elaano chusav ga"
Sowmya,Avvaledhu
Sowmya,Inka
SINHA,Ave complete chei ithy
Sowmya,2nd completed anthe
Sowmya,3rd oka part ayipoindhi
SINHA,Hmm
Sowmya,Sare mari bye
SINHA,Sare sare
Sowmya,Good nighttttttt
SINHA,Haa gud night
SINHA,Sowmyaaa
Sowmya,Ha
SINHA,Ekkada varaku ayyindhi
Sowmya,"1,2,3 ayyayi"
Sowmya,Unit 5 lo first part ayipoindhi
Sowmya,Remaining half choosthunna
SINHA,Hmm nycc
Sowmya,Needhi?
SINHA,Edhi poortiga avvale... 😐
Sowmya,4rth unit inka repu mng a😒😮‍💨
SINHA,Akkadaka chustuna
Sowmya,Ayyina gurthuvundatla sinha
Sowmya,Hmm
Sowmya,Motham choodali ga
Sowmya,Asale seta
Sowmya,Sets*
SINHA,Haa chudali
SINHA,Choodam
Sowmya,Hmmm
SINHA,Christmas dress aa?
Sowmya,Ha
SINHA,Hm bagundhi
Sowmya,Eeeee TQ
SINHA,Hehe
Sowmya,Vellava church ki
SINHA,Ha Vella
Sowmya,Rahul vachada
SINHA,Ha vachadu vachadu
Sowmya,Hmm
Sowmya,Manchidhi
SINHA,Credits goes to u...
Sowmya,Antha ledhule
SINHA,🙌🏼🙌🏼
Sowmya,Aa abbai ke interest vachindhi
Sowmya,Every Sunday velthadu anta
Sowmya,Nenu cheppinappudu ee week veltha annadu
Sowmya,Intiki vellaka inka daily veldham ani anukunnadu anta
SINHA,Hmm ok
Sowmya,A time varaku vuntav
SINHA,Padukoneydhi leydhu
Sowmya,😳
Sowmya,🙏
Sowmya,Ala aithe Inka em gurthuntai
SINHA,Repu paper batti ... Exam hall lo padukovala vadha ani decide avuta ...
Sowmya,Gurthuvunna exam lo rase internet radhu
Sowmya,🙄 bagundhi andi
Sowmya,Chee interest
SINHA,Haa... 😂
Sowmya,Inkenti samgathulu
Sowmya,Nenu aithe prepare avutha
SINHA,Sare rep matladam
Sowmya,Eppudu padukuntunnano
Sowmya,Eppudu lesthunnano
SINHA,Prepare avvu
Sowmya,Kooda ardham avvatla😅
SINHA,Ani complete cheysi paduko adhey manchidhi
Sowmya,Naa valla kadhamma ala
Sowmya,Mng 4 ki lestha
SINHA,Ok it wish
SINHA,Ur wish
Sowmya,Nv 2 to 5 paduko
SINHA,Leydhu 5 ki padukonta
Sowmya,Hlo
SINHA,Ha present
Sowmya,Exam rase opika vundha
Sowmya,Chee chee
Sowmya,Exam rayalani ledha
SINHA,Raasta
SINHA,Poyina sem ki kuda enthey ga sowmyaa
Sowmya,Skit anu dances ave ippude ayipoyai
SINHA,Kotha ame kaadu le
Sowmya,Nenu vellala kooda
SINHA,Ohoo chusava mari
Sowmya,🙏
Sowmya,..
SINHA,Ayyyo
Sowmya,Pillalu chocolates icharu intiki vachi
SINHA,Ohh ok
SINHA,Baga tinu
Sowmya,Ippudenti padukonu antav anthena
Sowmya,Ala vadhule sinha
Sowmya,Neeku kavala
Sowmya,Em ledhu chinna chocolates veeti kosam intiki vachara ani anukunna
SINHA,Ha techeysey repu
SINHA,Exam lo tindam
SINHA,Ha somwya ... Nedra patadhu Naku inaa
Sowmya,Marava inka nv
SINHA,Nv kuda complete cheysi paduko
Sowmya,Nee alavatuli naku nerpinchaku😅
Sowmya,Naa alavatle neeku nerpinchali
SINHA,Vadhu le... 😐
Sowmya,🤨
Sowmya,Manchi alavatle andi
SINHA,Evaru alaavatu lu Valle dagarey vunchukondam... 🤗
Sowmya,Sarele po
SINHA,Ok ok prepare ka inkaa
Sowmya,Pomannaga po inka
SINHA,Ayyo Sowmya... 😅
Sowmya,Are
SINHA,Ok mari pothuna
Sowmya,Telugu radha
Sowmya,Vellavayya...vellu.....
SINHA,Sare sare
Sowmya,Exam a time ki
Sowmya,Naku aa exam time table pdf kooda kanipinchala
Sowmya,Hlo
SINHA,<Media omitted>
SINHA,Chusukoo
SINHA,10ki exa
Sowmya,Okk
Sowmya,Thank you
SINHA,Hehe
Sowmya,Hehe
Sowmya,Sin
Sowmya,Ha
Sowmya,Naa notiki eppudu ilane vasthadhk
Sowmya,Vasthadhi*
SINHA,Elaa?
Sowmya,Kani feel avuthav emo ani type chesi kooda aagipotha
Sowmya,Break
Sowmya,Sin
Sowmya,Ha
SINHA,Ohoo
SINHA,Nyc nyc
Sowmya,Sin meaning Bala andhuke pilavanj
SINHA,Ha meaning harinchadam
SINHA,That means teesi veyadam
Sowmya,Nee moham
Sowmya,Sin ante enti
SINHA,So sin ni teeseyvadu SINHA ani... 😅
Sowmya,Ababbaabbaabaa
SINHA,That's the meaning... 😌😌
Sowmya,Em septhivi em septhivi
Sowmya,Kanipinchav kani
Sowmya,Maaamulodivi kavu nuvvu
SINHA,Sare sare
Sowmya,What sare sare
SINHA,Tarvata appudaina pogududuvu kailni
SINHA,Chaduvu ippudu
Sowmya,😲
Sowmya,Nenu em pogadatledhu sir
Sowmya,Sarele chaduvuko
SINHA,Avuna .... 😅
SINHA,Haaa
Sowmya,Bye
Sowmya,Good night
SINHA,Oh sleeping
Sowmya,Inkoka 10 min vuntanu anukunta le
SINHA,Sare sare
Sowmya,Hlo
SINHA,Hi sowmyaa
Sowmya,Enti sinha
SINHA,Gud night.... Padukontuna🥱
Sowmya,Padukunna
SINHA,Mrng eh levale
Sowmya,😐🙄
Sowmya,Paduko paduko
SINHA,Exam ki late aipotundhi malli
Sowmya,Vachaya
SINHA,Parlee
Sowmya,Bus
Sowmya,Bye*
SINHA,Nv prepare avvu baga
Sowmya,Hmm
Sowmya,Exam kaise likha re
SINHA,Aacha likha
SINHA,Kaana kaaya?
Sowmya,Abbo
Sowmya,Thinna
Sowmya,Naku Hindi em radhule
Sowmya,Telugu lo matladu
SINHA,Teek hei
Sowmya,Telugu lo matladuuuuuu
SINHA,Cheppu sowmyaa
Sowmya,Em ledhu
SINHA,Avunaa
Sowmya,Avunu
SINHA,Thum dopahar baad bahut gussa Kuy re?
Sowmya,DAA start chesava
Sowmya,Ayaaa...😭😭😭
SINHA,Ha ippudey cheydam ani kurchona
Sowmya,Naku asalu radhu ramante radhu hindi
Sowmya,Ohoo
Sowmya,Nenu indhaka varaku padukunna
Sowmya,Exam rasthoo kooda nidhrapoya😮‍💨
Sowmya,Nidhrapovadam luck antaru kani
SINHA,Abba nijam cheppu
Sowmya,Telugu lo cheppava
Sowmya,Nijamm promisee
SINHA,Leydhu telusuko
Sowmya,1 hr 15 min anukunta
SINHA,Task eevaltiki... 😁
SINHA,Enti?
Sowmya,1st question lo 2 questions rasanu inka
SINHA,Nv ela rasav enthaki exam
Sowmya,Last 1 and half time lo 8 rasa
Sowmya,Time ledhu ani choose sariki
Sowmya,Mathu antha poindhi
Sowmya,Parledhule
Sowmya,Shabba
SINHA,Saripoyindhi... 😅
SINHA,Highlight aasalu
Sowmya,Nijamm
SINHA,Nenu alaaney rasa kani Mari ela kadhu
Sowmya,Dorikindhi
Sowmya,Nenu endhuku kopamga vunna
SINHA,Haa anthey
SINHA,Why why?
Sowmya,Cheppu
Sowmya,Nenu aduguthunna🤣
Sowmya,Maamulgane vunnane...
SINHA,Oh avuna nakey anipichindhi antava ithy
Sowmya,Haaaa
Sowmya,Nenu prathi sem exams ki nidhrapotha thelusa🤣
Sowmya,Adenti kanii
Sowmya,Maamulga radhu nidhra
Sowmya,Asalu RES exam appudu vachindhi sinha......
Sowmya,Paper akkada padesi vellipovali anipisthadhi🤣
SINHA,Hmm hmm
Sowmya,Akkadiki
Sowmya,Paper late ga vachindhi kadha
Sowmya,Padukunna
Sowmya,Chaitanya kadhilinchi
Sowmya,Parupu emanna thavala ani annadu
SINHA,Haha... 😂
Sowmya,Sarele chaduvuko
Sowmya,Naku thelisi nenu oka topic kooda ayipokundane nidhrapotha
SINHA,Hmm Chudu easy ganey vuntayi topics CN la kadhu
SINHA,Mana own ga rayochu
Sowmya,Naku antha talent ledhule
Sowmya,Own ga rayali ante
SINHA,😐
SINHA,Sare chudu mari
SINHA,Scoring subject edhey
Sowmya,Choodalu levu le
Sowmya,Nidhre
Sowmya,Avunu
Sowmya,Naku aithe 30 ki 30
Sowmya,Internals
Sowmya,Monna TPO lo sheet vunte choosa
SINHA,Ahha
SINHA,Nycc...
Sowmya,2 mids kalipi
Sowmya,🤭
Sowmya,Dwdm lab emo 13
Sowmya,Cn emo 12
SINHA,Baga vachini sowmyaa
Sowmya,🤣🤣
Sowmya,A vasthadhi
Sowmya,Challe nenu rasinadaniki
Sowmya,A ne korukunna
SINHA,Naku A chaalu... 😌
Sowmya,😅
Sowmya,Sare mari good night
Sowmya,Indhaka nunchi okate...🥱
SINHA,Hmm sare paduko
Sowmya,Hmm
Sowmya,Bye
Sowmya,Dinesh kottada ninnu
SINHA,Kottadam enti?
Sowmya,1:30 nunchi 3:30 varaku phone choodakunda vunnava sinhaa 🙄
SINHA,Ha 1:30 ki padukona
SINHA,2:30 ki leychi tini vacheysariki aa time aayindhi
Sowmya,Sarele
SINHA,🙄
Sowmya,🙄
SINHA,Chaduvutunava?
Sowmya,Avunu
Sowmya,Indhake start chesa
SINHA,Ok chaduvuko
Sowmya,Naku thelusu idhe msg vasthadhi ani
SINHA,Antey disturb cheyadam anduku ani anthey
Sowmya,Water can lo thagakapothee
Sowmya,Bottle lo thagochuga
SINHA,😂
SINHA,Sare sare
Sowmya,Enni units complete chesav
SINHA,Okati kuda avvale somwya... 😐
Sowmya,🤭🤣
SINHA,Neeku
Sowmya,Sarele chaduvuko
Sowmya,Cheppanu ga
Sowmya,Nenu indhake start chesindhii
Sowmya,3rd unit start chesa
SINHA,Antha confident ga vunnava
Sowmya,2 topics a ayyai
SINHA,Ee sub lo
Sowmya,Asalu aa syllabus ni choosthene confidence vasthadhi
SINHA,😅... Baga cheppav sowmyaa
Sowmya,Anni topics ki algorithms kooda nerchukuntava
Sowmya,Nenu Anni Baga cheptha😂
SINHA,Ha chudali
Sowmya,Abbo sare
SINHA,Ha Baga prepare avvu
Sowmya,Nenu aithe algorithms
Sowmya,Anu
SINHA,Hmm
Sowmya,Inka time complexity avi vunnai kadha
Sowmya,Avi choodatla
SINHA,Haa
Sowmya,Kani ave important
SINHA,Hmm avunu
Sowmya,Sare mari
SINHA,Ha
SINHA,Hi
SINHA,Appudey padukonava?
Sowmya,Neeku Ela thelusu padukunnanu ani
Sowmya,11:30 kee asalu inka entha control chesina navalla ledhu nidhra
SINHA,Net appeysav ga ani
Sowmya,Off cheyaledhuga
SINHA,Naku single tick eh vachindi
Sowmya,Sare
SINHA,All the best
Sowmya,Tq same to youa
Sowmya,Anni questions rasava
SINHA,😮‍💨😮‍💨
Sowmya,Entii
SINHA,2 questions rayale
Sowmya,Ante 8 questions a na rasindhi
SINHA,Ha anthey
Sowmya,Mari 8 Baga rasava
Sowmya,Time saripoledhu anukunta ga
SINHA,Parle pass aipota
Sowmya,Hmmm
Sowmya,..
Sowmya,Time choosukovaliga🙄
SINHA,Emo Sowmya aipoyindhi alaa ... 🥲
SINHA,Peeling chaad
Sowmya,Sare sarelee
Sowmya,Remaining exams Baga chadivi  Baga rayi
SINHA,🥹🥹
Sowmya,Are
SINHA,Tnq Sowmya ippati varaku evaru neela motivate cheyaleydhu.... 🥺🥺🥺
Sowmya,Asalu evarikaina chepthee appudu cheptharu
SINHA,Nek cheppa ga chaalu
Sowmya,Nenu adigithe cheppav
SINHA,Antey adhi
Sowmya,Ha adhi😅
Sowmya,Nenu baga rasanu anukunta exam
Sowmya,Kani vallu marks veyaru le
SINHA,Veystaru somwyaa neelanti manchi vallaki eppudu manchey jarugutundhi... 😌
Sowmya,🤣🤣🤣🤣🤣🤣
SINHA,<Media omitted>
SINHA,Nijam reee
Sowmya,Ok okkk
SINHA,Hmm gud
Sowmya,Start chesava mari
SINHA,Cheystuna ippudey
Sowmya,Hmm
Sowmya,Thakkuva syllabus a le
Sowmya,Inka idhi anna Baga rayi
SINHA,DAA kuda baney rasaa... 🥺🥺
Sowmya,Nv mundhu aa emojies pettaku
SINHA,Nv ame annav mari... 🙄
Sowmya,Sare aithe manchidhe
Sowmya,Remaining 2 questions raledha 
Sowmya,Ante...Baga ante anni rayamani ayya
SINHA,Manchida... 😐
Sowmya,Ayyoo sinhaa🤦‍♀️
SINHA,Time saripole... ☹️
Sowmya,Eduruga antha pedha clock pettukoni
Sowmya,One min
SINHA,<Media omitted>
Sowmya,Enti
Sowmya,Thelidha
SINHA,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,A question a time ki ayipoindho kooda rasukunna
SINHA,Oka planning oka padathi... Ok vision... 🙌🙌
Sowmya,Eee....😁
Sowmya,Cheppu...mundhu clock choosukoledha  nv
SINHA,Na chetiki kuda vuntundhi clock
Sowmya,🤦‍♀️
Sowmya,Pettukunna waste a ga
Sowmya,Choosukokunda
SINHA,Chetiki watch vuna prathi vadu time vastundhi anukontadu
SINHA,Telustundhi anthey... 😅
Sowmya,Dialogue ki em thakkuva ledhu
Sowmya,Adhi thelusukone fast ga rayali andi
SINHA,Sare
Sowmya,Sarele inka chaduvuko po
Sowmya,Adhi kadhu
SINHA,Ha chaduvutaa
Sowmya,All the best cheppav
Sowmya,Same to you anna nv choodaledhu🤷‍♀️
SINHA,Ha exam hall ki vacheysa ga
SINHA,Andukey time saripoleydhu antava... 😐
Sowmya,Hmm
Sowmya,Kadhuleeee🤣
Sowmya,First questions ekkuva length tho konchem slow ga alochinchi rasi vuntav
SINHA,Ha avunu
SINHA,Konchem kaadhu chaala slow
Sowmya,👌
Sowmya,Ee emoji choosthe okati gurthochindhi
Sowmya,Ninna oka question exam lo oka idea vachindhi inka alane rasanh
Sowmya,<Media omitted>
Sowmya,👌
SINHA,Ahha nycc
SINHA,Nenu ela rayali anukona
SINHA,Eedhi cheystunappudey lageysukonaru.... ☹️
Sowmya,40 columns kottava
SINHA,Leydhu sowmyaa
SINHA,Elaaney cheyatuna
Sowmya,Hmm
Sowmya,40 kotti vuntee
Sowmya,Time a saripoyedhi kadhu
Sowmya,Meeku kooda vachindha ee problem
SINHA,Haa vachindi
Sowmya,3rd set a ga needhi
Sowmya,Oka sari neeku vachina question pic pettava
SINHA,Question paper leydhu.... 😐
SINHA,Evarini inaa adege peydata
Sowmya,Anukunnaaaaaaa
Sowmya,Vadhule
SINHA,Sare
Sowmya,Sare mari
Sowmya,Nenu start chesthunna
Sowmya,Nv kooda baga prepare avvu
SINHA,Inkaa cheyaleyda
Sowmya,No🤣
SINHA,Hmm sare sare chei mari
Sowmya,Ok
Sowmya,Hello
Sowmya,Enni units ayipoyai
SINHA,Sowmyaaa
Sowmya,Enti
SINHA,Ame avvale....
Sowmya,Asalu nuvvuu
Sowmya,Anukunna
Sowmya,Parledhule
Sowmya,Nadhi kooda em avvala
Sowmya,Inka time vundhi
Sowmya,Chaduvu
Sowmya,Navi 3 and 4 a ayipoindhi
Sowmya,Ippude 1 start chesa
Sowmya,Hlo
SINHA,Nycc
SINHA,Kani nv
SINHA,Nadhi aaveyla leydhu
Sowmya,Enni ayipoyai
SINHA,Okati kuda aavale
Sowmya,😬
Sowmya,Ippati varaku em chesav sinha asaluuuu
SINHA,Nenu sariga 8 ki kurchona
SINHA,Chadavadaniki
Sowmya,Appati varaku dance vesava
SINHA,😐😐
Sowmya,https://youtu.be/j0tqUBhs-Nc
SINHA,Chaduvutuna okkokati
Sowmya,Max 2nd unit cover avuthadhi
Sowmya,First idhi choodu
Sowmya,1st unit lo basic concepts a ga
SINHA,Haa ok... 👍
SINHA,Ha rasta ga
Sowmya,"Inka 3,4,5 vunnai kadhaaa"
Sowmya,Asalu enti sinha nuvvu🤦‍♀️
Sowmya,Em chesav cheppu
SINHA,1:30-4 padukona
SINHA,Ala aipoyindhi
Sowmya,Ha mari 4 ki
Sowmya,Call matladava🙄
Sowmya,Asalu nuvvuu hmmchhhhhh
SINHA,Ha ha chustuna chustuna
Sowmya,Matladu edokati
SINHA,Sare chustuna nv prepare avvu le
Sowmya,Neeku bhayam ledhu abba
Sowmya,Hmm kanivvule time ledhu
SINHA,Vundhi.... 😐
Sowmya,Ledu
Sowmya,Ledhu*
Sowmya,Assalu ledhu
SINHA,<Media omitted>
Sowmya,Sarele Aina nenu endhuko intha aristhunnano nake ardham avvatla😮‍💨
Sowmya,Neeku evo plans vuntai ga
SINHA,Cool cool
Sowmya,Inka vellule
SINHA,Haaaaaa
Sowmya,Okate
SINHA,Ha cheppu
Sowmya,Kopam vasthundhi asalu naku
Sowmya,8 ki start chesthee
Sowmya,Appati varaku em chesavaa anii
SINHA,Ame Sowmya... 😐
SINHA,😐 rep cheptaa
Sowmya,Vadhuleee
Sowmya,Inka po le malli time waste neeke
SINHA,Sare
Sowmya,Etu 5 varaku vuntav
Sowmya,Inka motham YouTube lo choodu
SINHA,Haa adhey cheystuna ... Sowmyaaa
SINHA,sowmyaaaa
SINHA,sleptaa?
Sowmya,Haaa
Sowmya,12:20 ki padukunna
Sowmya,Sinha ee roju maa anna vasthunnadu
Sowmya,Exam gurinchi aithe vadhule 😐
SINHA,Ame aani rasav leyda?
Sowmya,Asalu em ravu sinhaaaaaaaw
Sowmya,Pass avuthanu ani kooda cheppalenu
Sowmya,Nv ela rasav
SINHA,Parle baney rasa
Sowmya,Ponile
SINHA,Eesari malli oka question vadileysa
Sowmya,Nenu chalane vadileyali em rala kabattai
Sowmya,Kani vallu ichina data rasesi
SINHA,Mari antha ame cheysav
Sowmya,Edokati chesi vacha
Sowmya,Asalu evevoo icharu maku mari ghoram ga
SINHA,Hmm
SINHA,Aani rasav ga ithy
Sowmya,Rasina useless 🤦‍♀️
Sowmya,Oka 2 aithe addanga kottestharu kachithanga
SINHA,ekkuva alochinchaku next exam lo ekkuva teychuko
Sowmya,Em alochinchatla
SINHA,Hmm gud
Sowmya,Sare mari bye
Sowmya,New year night church ki velthava
SINHA,Haa
Sowmya,Ante 31st night
SINHA,Veltaaa
Sowmya,Ohoo
Sowmya,Mobile choodavu ga
SINHA,Leydhu
Sowmya,Okkk
SINHA,Mee church ki invite cheyochu ga
Sowmya,😐
Sowmya,Sare intiki vachesa byee
Sowmya,Hmm matladule
Sowmya,Maa anna inka rala
Sowmya,Nenu emo maa anna vasthadu ani Baga alert ga vunta
Sowmya,Maa anna emo eppudoo okasari pattukuntaru phone
SINHA,Sare sare nv cheysey varaku cheyanu le
Sowmya,Nenu oka one month cheyakapothe
SINHA,Clg lo matladata appudu
Sowmya,😅
Sowmya,Sare sare
Sowmya,Thinnava
SINHA,Thintuna
Sowmya,Same
Sowmya,Ela thintunnav
SINHA,Chetitho
Sowmya,Thaggaledha
SINHA,Parleydhu konchem
Sowmya,Ok ok
Sowmya,Thinnava
SINHA,Ippudey tinna sowmya
Sowmya,Hmm
SINHA,Hmm
Sowmya,Sarele paduko
